# *** EVERY IMAGE ARK IN THIS ARCHIVE, RESOLVED TO A FILM AND IMAGE NUMBER. 15 September 2026. ***
# An ark alone cannot be reopened when the FamilySearch viewer is down. A film-and-image can:
# dgs:{film9}.{film9}_{image5} is accepted directly by the tile service, which keeps serving
# through an Error 15 block. *** Resolved by one manifest.json call each. ***
ark	film_and_image	state
3:1:3Q9M-CS2C-J9J2-K	dgs:008166522.008166522_00138	resolved
3:1:3Q9M-CS2C-N7RV	dgs:008166632.008166632_02672	resolved
3:1:3Q9M-CS2W-27FX-P	dgs:008165116.008165116_01442	resolved
3:1:3Q9M-CS2W-2SKF-F	dgs:008165099.008165099_01845	resolved
3:1:3Q9M-CS2W-73KF-W	dgs:008165032.008165032_00501	resolved
3:1:3Q9M-CS2W-73LG-X	dgs:008165032.008165032_00500	resolved
3:1:3Q9M-CS2W-73LL-2	dgs:008165032.008165032_00505	resolved
3:1:3Q9M-CS2W-73LL-5	dgs:008165032.008165032_00491	resolved
3:1:3Q9M-CS2W-H67P	dgs:008165196.008165196_00202	resolved
3:1:3Q9M-CS2W-J9WM-2	dgs:008165128.008165128_00029	resolved
3:1:3Q9M-CS2W-K796-D	dgs:008165124.008165124_00090	resolved
3:1:3Q9M-CS2W-K9BG-8	dgs:008165199.008165199_01773	resolved
3:1:3Q9M-CS2W-N36Y-D	dgs:008165115.008165115_01845	resolved
3:1:3Q9M-CS2W-W97S-F	dgs:008165044.008165044_00973	resolved
3:1:3Q9M-CS2W-XSMB-7	dgs:008166432.008166432_01689	resolved
3:1:3Q9M-CS2Z-W2RG	dgs:008166578.008166578_02531	resolved
3:1:3Q9M-CS2Z-W45W	dgs:008166573.008166573_02167	resolved
3:1:3Q9M-CS2Z-W92K-Q	dgs:008166571.008166571_01084	resolved
3:1:3Q9M-CS2Z-W9K5-6	dgs:008166571.008166571_01159	resolved
3:1:3Q9M-CS2Z-W9KR-W	dgs:008166571.008166571_01176	resolved
3:1:3Q9M-CS2Z-W9V2-M	dgs:008166571.008166571_01017	resolved
3:1:3Q9M-CS2Z-W9V2-Y	dgs:008166571.008166571_01130	resolved
3:1:3Q9M-CS2Z-WH52	dgs:008166573.008166573_00274	resolved
3:1:3Q9M-CS2Z-WNTL	null	no deepzoom id
3:1:3Q9M-CS73-G9MX-6	dgs:007857687.007857687_00405	resolved
3:1:3Q9M-CSLC-7CX8	dgs:008186899.008186899_00040	resolved
3:1:3QHK-MQL4-NQWN	112342450_00665	non-DGS id
3:1:3QHK-XQ11-BC6G	115832704_00594	non-DGS id
3:1:3QS7-99ZR-NKNR	dgs:007499043.007499043_00912	resolved
3:1:9396-73S6-81	dgs:004581639.004581639_00132	resolved
3:1:939D-GD76-B	dgs:004571157.004571157_00086	resolved
3:1:939D-GD9T-LM	dgs:004571164.004571164_00201	resolved
3:1:939D-V7SM-N	dgs:004569616.004569616_00118	resolved
3:1:9Q97-Y3S1-RGM	dgs:004531019.004531019_00010	resolved
3:1:9Q97-Y3S1-TXL	dgs:004531018.004531018_00146	resolved
3:1:S3HT-DZTW-9S9	dgs:004149111.004149111_00008	resolved
3:1:S3HT-XK5Q-L	dgs:004331984.004331984_00410	resolved
3:1:S3HT-XK5S-TP	dgs:004331984.004331984_00086	resolved
3:1:S3HT-XS9C-ZL	dgs:004098797.004098797_00370	resolved
