# Every source this archive has actually consulted, in the order first used.
# This file is the source of truth; /sources/ is generated from it, so the page cannot
# fall behind the work again. It did once: the table sat unchanged from 10 to 13 Sep 2026
# while three days of reading went unrecorded, under a heading claiming to list everything.
#
# tier: PRIMARY = a document image was opened and read here
#       SECONDARY = an index, a user-built tree, or a published account
#       REFERENCE = statistics, encyclopaedias, background
source	used_for	accessed	tier	link
Catedral Basilica de Montevideo - baptism of Raul Alfredo Luis Lerena, folio 296, 10 September 1885	*** THE SECOND WITNESS TO GILBERTO'S PARENTAGE, and from a different parish. *** "Hijo legitimo de Gilberto Lerena y Julia Salvanach, orientales: abuelos paternos LUIS y JUSTINIANA LENGUAS" - identical to act 1447 of 1886 but in another year, another church and another hand. Godmother a JOSEFA LERENA otherwise unknown here.	14 Sep 2026	PRIMARY	
Arzobispado de Buenos Aires - informacion matrimonial, Nuestra Senora del Socorro (Retiro), folio 44, 25 March 1914	*** CORRECTS THIS ARCHIVE TWICE. *** The record is an informacion matrimonial, not the "Retiro baptism" the register called it; and the father read as "ALBERTO (almost certainly GILBERTO)" is written GILBERTO plainly. Carlos Lerena, 30, of Pueyrredon 1750, "bautizado en la Iglesia de el CORDON, Dep. de Montevideo" - naming a third Montevideo parish for this family - marrying Rosa Maria Eppens.	14 Sep 2026	PRIMARY	
Uruguay, Civil Registration - Montevideo death act No. 45 of 17 January 1884, Sixta Lenguas	*** PUTS THE SISTERS FINDING ON AN IMAGE, AND ADDS TWO GENERATIONS. *** "Hija de D. Pedro Lenguas y de Dona Carmen Gonzalez, finados; sus abuelos paternos D. ANTONIO LENGUAS y Dona JUANA GRANDAL; maternos D. PASCUAL GONZALEZ y Dona JOSEFA GRANDAL." Her husband recorded as "D. Candido Juanico, Oriental, edad 72 anos, viudo, ABOGADO".	14 Sep 2026	PRIMARY	
Rosario cathedral, Confirmaciones 1883-1918 - film 1091419, DGS 4531018	*** OPENED FOR THE FIRST TIME. *** Listed as untried since this archive's first week and without a film number until 13 September. The confirmations of 26 March 1890 at Rosario are a numbered list naming each child's PARENTS - and Pablo Armando, born February 1882, is squarely inside the age range of six to fifteen. First page read: eleven entries, no Lerena, and *** every one of them a girl ***, which suggests the confirmations were taken sex by sex and that a boy of eight is in a separate run of pages.	14 Sep 2026	PRIMARY	
Rosario cathedral, Defunciones 1841-1860 - two more openings	Acts of 22 July to 14 August 1841 read: Pedro Pablo, Jose Santiago, Matias Lopez, Fermin Sosa, Ambrosia Garcia, Felicia Dias, Ana Maria Leguisamon, Gregorio Paez, Eleuterio Morales. No Lerena. *** TWO THINGS THAT CHANGE THE ESTIMATE: the film carries a "POOR COPY - WHOLE VOLUME" target card, which is FamilySearch's own warning on the filming of the entire volume; and it contains RE-SHOTS, so 658 images is not 658 openings. ***	14 Sep 2026	PRIMARY	
Rosario cathedral, Libro 25 - opening at i=20, acts 951-956 (10-11 August 1882)	Bernal, Parodi, Cavarozzi, Lopez, Rodriguez, Echague. No Lerena. *** 792 consecutive baptisms now read act by act. ***	14 Sep 2026	PRIMARY	
Argentina, Capital Federal Catholic Church Records and Argentine military records - searched on GILBERTO LERENA AS FATHER	*** THE ARGENTINE LIMB OF THE MONTEVIDEO HOUSE, assembled for the first time: EIGHT children of Gilberto Lerena and Julia Salvanach. *** Four born at Montevideo (1878-1886), four at Buenos Aires (1890-1898) - which BRACKETS the family's crossing between 31 October 1886 and 29 October 1890, firmer than the "1887 to 1889" read off census birthplaces. *** And Juan Carlos is not among them. ***	14 Sep 2026	SECONDARY	
Uruguayan and Argentine collections - searched for ALEJANDRO LERENA	Run to test whether Alejandro Lerena Lenguas, b. 29 May 1845, is the ALEJANDRO MAXIMO LERENA of the enrolment cards. *** INCONCLUSIVE, and recorded as such: no record found names Alejandro Maximo's parents. *** The search did establish that there are at least THREE distinct men of the name, including one of the Trinidad orbit married to Severa Fernandez - which is the mistake this file exists to prevent.	14 Sep 2026	SECONDARY	
Rosario cathedral, Confirmaciones 1883-1918 - four more images	Entries 45-88, 133-177 and 222-243 of the 26 March 1890 sitting, and the opening of a SECOND 1890 sitting in June-July. No Lerena. *** The first page's apparent all-girls pattern turned out to be an artefact of eleven rows: boys are mixed straight in. *** Ages run from two to fourteen in one sitting, so nobody can be ruled in or out by age.	14 Sep 2026	PRIMARY	
Argentina, Capital Federal Catholic Church Records - the marriage of Luis Lerena and Justiniana Lenguas, 3 March 1842	*** THE GENERATION ABOVE THE TRUNK, MARRYING - reached by searching the surname LENGUAS in ARGENTINA, which nobody had tried. *** Luis Lerena, 30, of Montevideo, "hijo legitimo de D. SANCHO y Dona Maria Fernandez" - Sancho for the third time and the earliest - *** and "desposé en SEGUNDAS NUPCIAS ... VIUDO de Dona CAROLINA", so he had a first wife nobody here knew of. *** Justiniana, 20, "hija legitima del Sr. GRAL. Lenguas y Dona Carmen Gonzalez". FamilySearch indexes the rank as a forename, "Geraldo Dios Lenguas".	14 Sep 2026	PRIMARY	
Arquidiocesis de Montevideo - marriage petition of Luis Lerena and Carolina Oliva, 3 September 1836	*** THE FIRST MARRIAGE, found within an hour of learning there had been one. *** On the stamped paper of 1836 and signed by Luis Lerena in his own hand: "hijo legitimo de D. SANCHO LERENA y de Dona MARIA FERNANDEZ ... tiene concertado matrimonio con Dona CAROLINA OLIVA". *** Sancho's earliest and plainest attestation - a fourth record - closing the doubt raised by two 1846 transcripts. *** FamilySearch files it under a Colombian collection by mistake.	14 Sep 2026	PRIMARY	
Uruguayan collections searched for CHILDREN of Luis Lerena and Carolina Oliva, 1836-1842	*** A NULL, and an honest one. *** No record anywhere pairs a Lerena father with a Carolina Oliva mother; and every Carolina Oliva in the Uruguayan records of that span belongs to a later woman who married Antonio Reverditto. The 1836 marriage left no indexed trace but its own petition. Not an exclusion - the Montevideo registers of 1837-1841 are largely un-indexed, and this archive has twice this week found what indexes miss.	14 Sep 2026	SECONDARY	
Nuestra Senora del Carmen la Mayor, Cordon, Montevideo - baptism of 13 December 1831	*** THE PRESIDENT OF URUGUAY STOOD GODFATHER TO SANCHO LLERENA'S GRANDSON. *** "Fueron padrinos Don FRUCTUOSO RIVERA, PRESIDENTE DE LA REPUBLICA, y su esposa Dona Bernardina Fragoso." The act also produces JUSTA PASTORA LERENA, "natural de Canelones" - a DAUGHTER of Sancho and a SISTER of Don Luis, unknown to this archive - and names Sancho and Maria Fernandez as maternal grandparents. Found through FULL-TEXT, which reads the handwriting; no search on LERENA would have returned it.	14 Sep 2026	PRIMARY	
Catedral Nuestra Senora de Guadalupe, Canelones - Religious Marriage Investigation Files 1776-1806	*** SANCHO LLERENA IN PERSON, under oath. *** "Presento por testigo en esta Vicaria a SANCHO LLERENA, a quien se le recivio juramento que lo hizo... bajo del cual prometio decir verdad." He appears as a sworn witness in another man's marriage investigation at Canelones - a primary document naming him, where this archive had only a user-built tree.	14 Sep 2026	PRIMARY	
Catedral de la Inmaculada Concepcion, Montevideo - baptism of October 1833	*** THE ACT THAT REOPENED THE SANCHO QUESTION AN HOUR AFTER THIS ARCHIVE CLOSED IT. *** A second child of Justa Pastora Lerena, naming her parents "Maternos: FRANCISCO LERINA y Maria Fernandez" - and it is an ORIGINAL, not one of the 1846 transcripts the copies-versus-originals argument rested on. Its godparents are ABELINO and DOMINGA LERENA, two more of that generation.	14 Sep 2026	PRIMARY	
Full-text search for the phrase "Llerena y Aguilar"	*** THIRTY HITS, EVERY ONE IN QUITO, ECUADOR *** - an Antonio Llerena y Aguilar of the Quito notarial records, 1789-1824. So the "Aguilar" this archive carries in Sancho's name is supported by no record it has read, and comes from the FamilySearch Tree.	14 Sep 2026	SECONDARY	
Catedral Nuestra Senora de Guadalupe, Canelones - Baptism Records 1794-1810 and Confirmation Records 1804	*** SANCHO LLERENA AT HOME, IN 1804 - twenty-seven years earlier than anything this archive held two days ago. *** His daughter DOMINGA JOSEFA baptised 15 May 1804, "hija legitima de Sancho Llerena y de Maria Fernandez" - and she is the Dominga Lerena who stood godmother at the Catedral de Montevideo in 1833, so a SISTER of Don Luis. In the same year's confirmation list he stands godfather to "Jose, esclavo de Manuel Lopez". Found through FULL-TEXT; neither act is name-indexed.	14 Sep 2026	PRIMARY	
Catedral de la Inmaculada Concepcion, Montevideo - baptism of 4 July 1837	*** A SECOND BROTHER FOR DON LUIS, AND THE FIRST WIFE'S REAL SURNAME. *** "Hija legitima de D. PEDRO ANTONIO LERENA natural de esta y de Dna Vicenta Vega natural de Cerro Largo. Abuelos Paternos: D. SANCHO y Dna Maria Fernandez. Padrinos: D. LUIS LERENA y Dna CAROLINA ORIBE." *** So the bride of 1836 is ORIBE, not the OLIVA this archive recorded twice from FamilySearch's index - and the published genealogy, tiered SECONDARY here, was right that he married a daughter of an Oribe. *** She was also alive in July 1837.	14 Sep 2026	PRIMARY	
Full-text re-run of the central null, WITHOUT the filter that breaks the search	*** THE NULL HOLDS. *** "Juan Carlos Lerena" as an exact phrase across the whole corpus returns TWO documents: the Montevideo dispensation of Juan Carlos Gonzalez Lerena, b.1899, already recorded here as not ours; and a Montevideo death of 2001 for a Juan Carlos ATAY Lerena, b.1933. Re-run because the recordCountry filter was found to break full-text silently, casting doubt on earlier nulls. This one was sound.	14 Sep 2026	SECONDARY	
Full-text search for children of Luis Lerena and Carolina Oribe, 1836-1842	*** A MUCH STRONGER NULL THAN THE INDEXED ONE, because the coverage was checked first. *** The Montevideo registers for those years ARE in the full-text corpus - Cordon baptisms 1837-1841, Catedral baptisms 1836-1840, Catedral deaths 1836-1842 - so the handwriting has been read. Neither "de Don Luis Lerena" nor "Lerena y de Carolina" returns a baptism from them. The marriage appears to have left no surviving child's act in either parish.	14 Sep 2026	SECONDARY	
Montevideo civil marriage registers 1902-1914 - full-text on the compound surname LERENA JUANICO	*** THE SIXTH CHILD WAS A JUDGE. *** Thirty-five acts open "Por ante mi JULIO LERENA JUANICO, JUEZ DE PAZ y OFICIAL DEL ESTADO CIVIL de la Primera Seccion del Departamento de Montevideo"; one read in full (Maronas, 28 Aug 1909). Almost certainly JOSE JULIO, b. 15 March 1879 - the only Julio among the seven children - which also explains why his mother registered his birth when he was twenty-nine. Found only by searching the COMPOUND surname, never tried here before.	14 Sep 2026	PRIMARY	
Rosario cathedral, Libro 25 - opening at i=21, acts 957-962 (12-13 August 1882)	Panelo, Gonzalez, Sanchez, Vidal, Aranda, Mujica. No Lerena. *** 798 consecutive baptisms now read act by act. ***	14 Sep 2026	PRIMARY	
Arquidiocesis de Montevideo, Marriage Dispensation Records JUNE 1913	*** A NINTH LERENA DISPENSATION, missed by this archive's own sweep of the same register. *** Jose Pedro Massera's petition of 19 June 1913 to be dispensed one conciliar proclama in order to marry "Dona EMA SIXTA LERENA JUANICO, feligresa de la metropolitana", eleven days before the wedding. Missed because the sweep searched "LERENA FELIGRESA" and her compound surname sits between those words.	14 Sep 2026	PRIMARY	
