# *** THE GRANADA ACT, FOUND - 14 September 2026. *** Yesterday's Geneanet pass turned "Aguilar" from
# an unattested word into a testable claim in a named diocese, across a FIFTY-YEAR span. The errand it
# left read: "open the Granada marriage act for an exact date, then look for a 1767 baptism of a Sancho
# in the same diocese." The exact date is now had. The 1767 baptism is NOT found - and the search that
# would have proved it absent was cut off by a block before it could be controlled. Both halves below.
what	what the record says	tier	why it matters
#
# *** WHAT IS NOW DOCUMENTED: *** a Lerena y Armenta family of Cordoba, in the nobility records there in
# 1751; a son of it, Sancho, marrying Ana Maria de Aguilar at Santa Ana, Granada on 17 November 1754;
# that couple's own parents named; the husband a vecino of Madrid from 1766 to at least 1808; and a
# JUAN DE LERENA Y AGUILAR signing a Madrid notarial act in 1790 under the compound surname.
#
# *** WHAT IS NOT DOCUMENTED, AND MUST NOT BE WRITTEN AS IF IT WERE: *** that any of these people is an
# ancestor of SANCHO LLERENA of Montevideo, born about 1767. *** NOT ONE RECORD JOINS THEM. *** The case
# for it is a naming rule and an arithmetic - a son born to that couple around 1767 would be styled
# "Lerena y Aguilar", which is the name four Geneanet trees give the Uruguayan founder, and 1767 falls
# inside their marriage. That is a GOOD lead and it is still only a lead.
#
# *** THE THREE THINGS THAT WOULD SETTLE IT, cheapest first: ***
#   1. Re-run "Sancho de Lerena y Aguilar" in full text WITH A CONTROL, once the block lifts.
#   2. Search MADRID baptisms 1765-1770, not Granada. He was living in Madrid by 1766; yesterday's
#      errand said "the same diocese" and that instruction was written before this was known.
#   3. Sancho's own Canelones marriage act of 8 January 1791 - still never opened - which in this
#      period routinely names a Spanish groom's parents and birthplace. *** That act would answer the
#      Spanish question and the Sancho-or-Francisco question in one page. *** It has been the top of
#      this archive's list for three days and remains there.
