# Everything this archive published, or was about to publish, and then had to take back.
# severity: serious = it changed a conclusion or would have misled a reader | minor = a slip, corrected
date	severity	what_was_said	what_is_true	how_it_was_caught
2026-09-10	minor	That the Lerena palette was identical to the FALCO archive's, with hex values quoted	The values quoted were Falco's, not ours. The Lerena styles.css is byte-identical to the DEFRANCESKI archive's. Falco is the outlier, with a warm palette against the shared cool one.	Reading both files side by side instead of trusting memory.
2026-09-10	minor	That there were 29 places in the register	28. "arr. Buenos Aires 1907-07-14" had been sitting as its own one-person place beside the 43-person "Buenos Aires - arrivals" because the normalising pattern only matched "arr. YYYY".	Looking at a person page that had no business having its own place.
2026-09-10	minor	Layout: a bare "6" floating in the middle of a sentence on every person page	.prose is a flex COLUMN, not a paragraph class. Using it on a <p> made every inline <strong> its own row.	Looking at the rendered page rather than the built HTML.
2026-09-10	minor	That the Italian-origin hypothesis was "the most consequential thing on this page"	Within the hour, the low-confidence genetic groups showed no Italian group among the five legible ones - evidence against it. Downgraded the same day to "already weaker than when it was written".	The next screenshot.
2026-09-13	serious	That the four LERINA arrivals of 1889 were excluded because "LERINA here is an Italian surname, not a variant of the Spanish Lerena"	They ARE excluded, but on their dates and the composition of the party: they arrive in 1889 aged 59, 55, 21 and 17, seven years after Pablo Armando was born at Rosario, and the party contains no Juan Carlos and no Maria. The claim about the SURNAME is withdrawn as a reason - it was reached from an index without opening the manifest, which is the move that got the Armando Lorena card wrong.	This archive's own search box, which showed all four LERINA entries carrying the same unexamined label.
2026-09-13	serious	That the Arturo Lerena in army drawer Cajon 985 was born at Montevideo in 1858, son of Avelino Lerena and Ambrosia Traibel	Two men. The Uruguayan record relied on gives the wife as EMA REGULES, and Ema Regules married JUAN ARTURO Lerena Traibel (1861-1936), whose children were born at Montevideo 1881-87. The Arturo in the drawer married AMALIA DIAZ and had children in La Pampa, Mendoza and Entre Rios 1889-97. The row is withdrawn and a "four branches" claim became three.	Opening the FamilySearch Tree profile the record was attached to - going to the underlying record, which is the move this archive keeps having to relearn.
2026-09-13	serious	Every person page showed an empty children list unless somebody had separately written an explicit "child" row	A link is written once in data/relations.tsv - "X, father, Y" - and the builder recorded it on X's page and never reversed it onto Y's. Thirty-eight parent edges were read one way against fifteen compensating child rows. Pablo Armando, Juan Carlos, Maria Lerena, Mary Septima Taylor, Roque, Roseline Forbes and Doreen Chappell all had children in the data and none on their charts. Fixed in the builder, with aliases excluded so a machine-index variant is not counted as a second child.	Wiring in the Montevideo household, whose four documented children rendered as none.
2026-09-13	serious	Nothing, visibly - which is why it went unnoticed	The people builder looked people up by name, and ELEVEN NAMES appeared twice or three times in the register - three Francisco Lerenas, three Jose Llerenas, two Carlos Lerenas, two Gilbertos. The later row silently won and thirteen rows could not be addressed at all. No edge happened to name an ambiguous person, so nothing looked wrong - but the next edge added would have attached to the wrong man in silence. Duplicates now carry a distinguishing tag and the builder REFUSES TO BUILD if two rows share a name.	Caught on the way to adding twenty-four relationship edges, several of them to a "Carlos LERENA" and a "Gilberto LERENA".
2026-09-13	minor	"Of the 1 relationships in the chart above"	A plural where the count can be one. Three people pages carried it.	An audit of all 138 person pages after the chart builder was changed.
2026-09-13	minor	129 people in the register	138, and climbing. The figure was typed by hand, correct when written and stale within days. It now derives from the data, like everything else on this site - the whole method being that pages are generated from the TSVs so page and data cannot drift. This one had escaped it.	Reading the front page instead of assuming it.
2026-09-13	minor	Paragraphs on six pages silently broke every emphasised phrase onto its own line	The .prose rule is a CONTAINER style - display:flex, flex-direction:column, gap:16px - meant for a <div> wrapping several paragraphs. It had also been put on 21 individual <p> elements, and a flex container blockifies its children: every <em> and <strong> directly inside those paragraphs became a full-width block on its own line. About 27 phrases across /searched/, /argentina/, /taylor/, /register/, /method/ and /people/ read as broken-up fragments rather than sentences. Fixed with one rule, p.prose{display:block}, which keeps the intended 80ch measure.	Looking at the page in a browser after adding a section, and not believing the explanation that it was my own markup - the CSS had no rule matching the element, so the cause had to be inherited from the parent.
2026-09-13	minor	The archive emphasised things to its readers as *** like this ***	The TSVs mark emphasis with triple asterisks and NOTHING EVER CONVERTED IT. 362 of them were rendering to readers across 38 pages - 132 on the register alone - so the archive was showing its own working notation as if it were text. Now converted at render time by site/src/lib/text.js, and check-links.py fails the build if a marker ever reaches a page again.	Counting them, after noticing a pair of asterisks on the gaps page while fixing something else.
2026-09-13	serious	The sources page said "Everything consulted so far" while listing nothing after 10 September	It listed 12 sources and had not moved for three days, while the Montevideo household, the Rosario death index, 750 acts of the 1882 register, the full-text density measurement and Sancho's six spellings all went unrecorded. *** On a page whose entire purpose is letting a reader check the work, that heading was a false claim. *** It is now generated from data/sources-consulted.tsv - 33 sources, 13 of them PRIMARY - so it cannot fall behind again.	Auditing my own list of what to do next, and finding the page contradicted the archive.
2026-09-13	serious	That Luis Eugenio Lerena Lenguas and Julia Juanico had FIVE children	*** SEVEN. *** Jose Julio, born 15 March 1879, and Candido Jaime, born 13 September 1884, were both missing. The five came from working outward from Julia's 1910 death certificate, which names five - and a death certificate is a list of the children who mattered to whoever registered the death, not a list of the children a woman bore. Found by searching the PARENTS' names directly instead.	Doing the obvious search that had not been done: both parents' names, in one query, across every Uruguayan collection.
2026-09-13	serious	That the Trinidad, Flores kindred included a daughter of Luis and Julia	It did not, and that row linked the Montevideo trunk to the Trinidad kindred when nothing links them. "Luis x Julia, Emma Liseta 1876" was read off a findmypast list that gives mothers BY FIRST NAME ONLY, so the Montevideo couple looked like a Trinidad couple. She is *** Emma Sixta Lerena Juanico, born and baptised at Montevideo *** - our own trunk. The note's own prose said eleven Trinidad children while its table showed twelve; nobody had reconciled the two.	Testing the register's search box with the term its own placeholder suggested - "Trinidad" - and getting nothing back.
2026-09-13	minor	Ema Sixta Lerena Juanico born c.1880	*** 21 November 1876. *** Three independent records agree: her civil birth registration of 30 May 1903, the Uruguay Baptisms index, and her christening at the Montevideo Catedral on 8 January 1881. The c.1880 was derived from her stated age at her 1913 marriage, and an age at marriage is the weakest date in genealogy.	Searching both parents' names, which returned all three records side by side.
2026-09-13	minor	The register promised "every named individual this archive has found"	It omitted the entire *** Trinidad, Flores kindred - 29 people *** - although this archive had a whole note about them, calling them the founding kindred of the surname. The register's own search placeholder invited readers to try "Trinidad", which returned nothing at all. The people are now in it, and the placeholder is honest because the data caught up with the promise rather than the promise being weakened.	Clicking the page's own suggested search term and watching it return zero.
2026-09-13	serious	That Luis Eugenio Lerena Lenguas is not in the indexed Uruguayan death registers	*** He is, and he died on 24 December 1901. *** Two sweeps were run and reported here as negatives - 1,502 Montevideo Lerena deaths for 1880-1911, and 132 Luis Lerena deaths for 1899-1903 - and this archive went so far as to write up the FamilySearch Tree's date of 1901 as a lead the registers appeared to contradict. The registers did not contradict it. THE INDEX DID: FamilySearch files him as "Luis SERENA Lenguas", so every search on the surname missed him. Found within the hour by searching his MOTHER, Justiniana Lenguas, instead.	Searching on the rarest stable name in the household rather than on a surname that the clerks and the indexers between them spell Lerena, Lorena, Serena and Languas.
2026-09-13	minor	Julia Juanico born about 1844	*** 23 November 1842. *** The 1844 was derived from her stated age of 66 on her 1910 death registration; she was 67. Her baptism of 4 October 1843 at San Francisco de Asis gives the date, and gives her mother in full as Juliana JOAQUINA Gonzalez.	Searching her FATHER rather than her surname - the same move that found her husband's death the same evening.
2026-09-13	minor	That Bartolome Llerena was "the only person of this surname found in Rosario before 1882"	Looser than the evidence allows. *** Six LORENAS are in the same 1869 census *** - Agustin, Guillermo, Geronima, Mercedes, Feliz and Maria - and this archive's own register groups LORENA with LERENA and LLERENA as spellings of one name, because the clerks disagreed. Two of them are flagged in that very register as the right age to be a parent of a child born in 1882. The note now claims only what was checked: the only person spelled Llerena or Lerena.	A sweep of all 183 register rows against the notes that describe them - the note and the register contradicted each other.
2026-09-13	minor	That FamilySearch film image arks cannot be reached by script, so each opening must be got by driving the viewer	*** Wrong, and wrong because I tested the wrong URL form. *** /ark:/61903/3:1:<ARK>?i=<N> ignores the i parameter and keeps the same image - which is what I tested, and what I generalised from. /search/film/<DGS>?i=<N> RESOLVES TO IMAGE N, and the ark can be read straight out of the page title. I published the pessimistic claim in the register file and in a commit message within the hour.	Trying the other URL form while starting the Rosario death registers, and getting a different ark back.
2026-09-13	minor	That Luis Eugenio Lerena Lenguas was born about 1845, and his brother was "Alberto Otario"	*** Born 9 FEBRUARY 1843, on the act of his own baptism *** - the 1845 came from his stated age of 56 on his death registration, and an age at death is an estimate. And his brother is *** ALBERTO OCTAVIO ***, not Alberto Otario; the latter is how FamilySearch indexed a hand that plainly reads Octavio. Their sister, indexed as "Justinia", is JUSTINIANA MAURICIA MAXIMA.	Opening the 1846 and 1850 baptism images instead of trusting the index that summarised them.
2026-09-13	minor	A row asserting that Maria E. C. Lerena, born 1869, was a daughter of Gilberto Lerena, born 1854	He would have been *** FIFTEEN. *** All the record says is that she was in his household at the 1895 census; "daughter" was this archive's reading of a household, not the census's word. The row is left in place with the contradiction stated against it rather than quietly re-labelled.	A new near-duplicate check in tools/consistency.py, which flagged her beside another Maria E. Lerena and made somebody read both rows.

2026-09-14	minor	That the Rosario confirmations of 1890 were taken sex by sex, so a boy would be in a separate run of pages	*** Wrong, and built out of eleven rows. *** The first eleven entries on the first page read happened to be girls, and I turned that into a structure and a search strategy. Entries 133, 135 and 138 on a later page are Domingo, Santiago and Pablo - all "hijo leg. de" - mixed straight in among the girls. There is no boys section to find and no shortcut: the whole list has to be read. The ages run from two to fourteen in one sitting, so age rules nobody in or out either.	Reading a second page of the same register a few hours later, instead of leaving the first page as the description of it.
2026-09-14	minor	That the first wife's surname read as something like "Dille" or "Dulce"	*** CAROLINA OLIVA. *** The 1842 act names Luis Lerena "viudo de Dona Carolina" and I could not read the surname confidently off that page, so I wrote down what it looked like and said it was not confidently legible. The marriage petition of 3 September 1836, found an hour later, gives it plainly: "Dona CAROLINA OLIVA, tambien natural de esta Ciudad". The uncertain reading is left recorded rather than deleted, because the next person squinting at that word should know what it is not.	Searching for the marriage instead of squinting harder at the word.

2026-09-14	serious	That the Sancho question was closed - "three originals against two copies is not a conflict"	*** REOPENED WITHIN THE HOUR BY AN ORIGINAL ACT THAT SAYS FRANCISCO. *** I argued that Luis Lerena's father is Sancho on three original acts, against two 1846 entries reading Francisco which say of themselves that they are later transcripts - and concluded the conflict was only copies against originals. Then the Catedral baptism of Justa Pastora Lerena's second child, October 1833, turned up naming her parents "FRANCISCO LERINA y Maria Fernandez". That is an ORIGINAL. The tidy argument does not survive it. *** What IS constant across every record and both spellings is MARIA FERNANDEZ, the wife. *** A double forename - Sancho Francisco - would explain everything without anyone being wrong, and is now the leading reading. Sancho's own marriage act, never opened, would settle it.	Following a new sister, Justa Pastora Lerena, to her second child - and reading the grandparents line instead of stopping at the one that agreed with me.
2026-09-14	serious	That Don Luis Lerena's first wife was CAROLINA OLIVA	*** CAROLINA ORIBE. *** Recorded as Oliva twice on 14 September - once to correct an earlier "not confidently legible" reading, and stated as settled. The source of the error was FamilySearch's index of the 1836 petition, which says Oliva; I read the image expecting it and saw it. A Catedral baptism of 4 July 1837, in another book and another hand, names her "Dna CAROLINA ORIBE" as godmother beside her husband. The petition, re-opened and magnified, reads ORIBE too. *** AND THIS ARCHIVE'S OWN HYPOTHESES PAGE HAD CARRIED, FROM A SECONDARY TREE, THAT HE MARRIED FIRSTLY A DAUGHTER OF AN ORIBE - it was right, and I never checked my reading against it. ***	Finding a second act that names her, while looking for children of that marriage.
2026-09-14	serious	That the Montevideo dispensation register holds EIGHT Lerena dispensations, every Lerena in it marrying out	*** A NINTH WAS FOUND, and the search that produced the eight was structurally blind. *** Jose Pedro Massera petitioned on 19 June 1913 to be dispensed one conciliar proclama in order to marry "Dona EMA SIXTA LERENA JUANICO, feligresa de la metropolitana" - our own Ema Sixta, eleven days before her wedding. The search formula was "LERENA FELIGRESA", which assumes the parish follows the surname immediately. *** Her COMPOUND surname sits between the two words, so the phrase could never match - and every child of both Montevideo couples carries a compound surname. *** The conclusion that no Lerena-Lerena dispensation exists is not withdrawn, but it now rests on a search known to miss exactly the people this archive cares most about, and needs re-running.	Searching the COMPOUND surname "Lerena Juanico" in full text - the same move that had just turned up her brother Julio as a Juez de Paz.
2026-09-14	serious	That the 1895 census shows a Lerena woman married to a Lerena man - "the pattern the whole search turns on"	*** OVERSTATED, AND WITHDRAWN AS EVIDENCE WITHIN THE HOUR. *** The schedule does read "Lerena de L. Josefa", and the "de L." is formed exactly as on the two lines above - that part was read correctly. The INFERENCE was too confident: "de L." can equally be the enumerator shorthand for THIS HOUSEHOLD, written against every married woman in the Lerena house. Uruguayan civil registration then turned up a JOSEFA LERENA married to FERNANDO MORATORIO, whom FamilySearch's tree attaches to Josefa Lerena Traibel 1851-1947 - the same candidate. If that is her, she was "de Moratorio" and the census tells us nothing about a Lerena-Lerena marriage. *** The claim was published as "the sharpest question in the project" on the strength of an abbreviation. ***	Searching for the marriage I had just said would settle it, instead of stopping at the reading that suited me.
2026-09-14	serious	That the Montevideo dispensation register holds eight Lerena dispensations (revised earlier today to nine)	*** A TENTH, found hours after the ninth, and missed for a different reason again. *** Alfredo Lerena and Hermenegilda Carolina Gavarro, Catedral Basilica de Montevideo, 3 February 1892, dispensed of consanguinity in the third degree with atingencia to the second by Archbishop Mariano Soler personally. The sweep missed it TWO WAYS AT ONCE: the groom is written *** GERENA *** - a seventh spelling for this family, in a sentence where his own father is written LORENA - and the dispensation clause comes BEFORE the names, so the formula "Lerena el impedimento" could not match. *** The count of eight is certainly low, and the file now says so. *** What survives is narrower: no LERENA-LERENA dispensation has been found, and this family did marry kin.	Searching the rarest name in the branch - AMBROSIA TRAIBEL - instead of the surname.
2026-09-14	minor	That Avelino Lerena is not shown to be Sancho's son, so the Lerena Traibel branch does not attach	*** He is, and it does - settled the same day on a parish act. *** Two baptisms of 12 March 1858 at San Francisco de Asis name the paternal grandparents of Avelino's children as SANCHO LERENA and MARIA FERNANDEZ, twice on one page. So the whole Lerena Traibel line descends from Sancho - including several people already floating unattached in this register: Mercedes Micaela and Clorinda in the dispensation table, and JUAN ARTURO, the man this archive conflated with another Arturo in its first week and had to retract.	Searching AVELINO with AMBROSIA - the couple, not the surname.
2026-09-14	minor	That Alfredo Justiniano Lerena's middle name echoed JUSTINIANA LENGUAS, connecting the two branches	I noticed the echo and flagged it as worth testing. *** It is nothing: he is named for his GODFATHER, JUSTINIANO LAVALLEJA, who is on the same line of the same act. *** A tidy connection between the branches that would have been entirely wrong, and the act that raised it also killed it.	Reading the whole act instead of stopping at the name.
2026-09-14	serious	That ALEJANDRO, baptised at La Mauricia on 7 January 1846, was "A SIXTH CHILD of Luis Lerena and Justiniana Lenguas", born 29 May 1845	*** HE IS A SON OF AVELINO LERENA AND AMBROSIA TRAIBEL, born 29 May 1843. *** The act reads "hijo legitimo de Avelino Serena y Ambrosia Traibel. Paternos Francisco y Maria Fernandez. Maternos Juan e Isabel Centeno. *** Padrinos LUIS [L]ERENA y JUSTINIANA LENGUAS. ***" Luis and Justiniana are his GODPARENTS - which is how this archive read them as his parents. Both the branch and the year were wrong. He is the ELDEST KNOWN CHILD of Avelino and Ambrosia, and pushes their marriage back before May 1843.	Reading the full-text transcript of the whole page rather than the entry. The image had been opened on 13 September and the act read too quickly - the parents and the godparents sit in the same sentence, and the archive took the wrong pair.
2026-09-14	serious	That the register contained no contradictions - "245 people checked, nothing contradicts itself", printed on every build for a week	*** THE CHECKER COULD ONLY SEE 31 OF 246 PEOPLE. *** The sibling-gap test reads a STRUCTURED parent field that only 12.6% of the register carries; for everyone else it silently found no siblings and passed. *** The contradiction it was written to catch was sitting in the data the whole time *** - Luis Eugenio b. 9 Feb 1843 and Justiniana Mauricia b. 30 July 1843, full siblings five and a half months apart. The file's own docstring names that pair as its reason for existing.	Reading the 1846 page for another purpose, noticing the two dates, and then asking why the checker had not said so. *** A guard that reports a clean bill of health over 12.6% of the data is worse than no guard: it manufactures confidence. *** The checker now prints its coverage and falls back to compound surnames.
2026-09-14	minor	That Luis Eugenio Lerena Lenguas was born 9 February 1843, on the authority of his own baptism act - published since 13 September	*** 9 FEBRUARY 1845. *** The act is a late copy from a legajo, and it is contradicted twice: his sister Justiniana Mauricia's act, the entry immediately above his in the same hand, gives her birth as 30 July 1843 - five and a half months before him; and his civil death registration of 24 December 1901 gives his age as FIFTY-SIX, putting his birth at about 1845. The clerk wrote "ano cuarenta y tres" in the entry above and again in the entry below. A year carried down a column is the ordinary way this happens, and 1845 is the only reading under which all three records stand.	The consistency checker, once it was fixed to see people without a structured parent field. It flagged the five-month gap on the first run after the fix. *** The archive then went looking for a third record to break the tie rather than choosing between the two. ***
2026-09-14	minor	Three unpaired emphasis markers written into the register in one session, each caught only after a build had rendered the literal characters onto a published page	The slip is always the same shape: closing one emphasis and opening the next with a SINGLE marker where two are needed. *** consistency.py now checks the TSVs themselves for an odd marker count, before any page exists. *** On its first run the new check found TWO MORE that check-links.py could never have caught - one in direct-line.tsv carrying the central open question about Maria Lerena, and one written an hour earlier in sources-consulted.tsv - because check-links counts only PAIRS in rendered HTML, and a single unpaired marker leaves no pair to count.	Adding the check after making the same mistake three times. *** The interesting part is what it found that the older guard structurally could not: a guard that looks for pairs is blind to the case of exactly one. *** And the new check then failed on THIS ROW, because the row originally quoted the markers as an example - *** the convention has no way to write a literal marker, which is now a known limit of it rather than a surprise. ***
2026-09-14	minor	That Horace A Taylor married "(? Mary Jane Bridge)" - carried from a MyHeritage tree, hedged with the archive's own question mark	*** HE IS HORACE ARCHIBALD TAYLOR and she is MARY JANE MARSHALL. *** Banns called at Northam, Devon, on 17 December 1893, when he was twenty-one - the earliest marriage of the ten siblings. The tree had the forenames right and the surname wrong, and the archive's question mark was warranted.	Searching the Devon parish registers instead of trusting the tree. *** The same pass named five brothers-in-law this archive had recorded only as bare surnames - "m. Dalling", "m. Bell", "m. Burton", "m. Sweet", "m. Wood" - and it took under an hour. ***
2026-09-14	minor	That the infant William Taylor (29 Dec 1824 - 10 Sep 1825) belonged to GENERATION A, alongside his own father James	*** HE IS GENERATION B - James's son, and the elder brother of the William born in February 1826 who was named after him. *** The error had sat in data/taylor-line.tsv since the file was written.	*** DRAWING THE CHART. *** Nobody had noticed in a fortnight of reading the file as a table, because a table does not care which row is which generation. The moment the same data was rendered as a tree, a dead infant appeared standing beside his father as though he were an uncle. A second way of looking at the same data is a test of it.
2026-09-14	minor	Five entries on the places atlas that were not places at all - "SA records", "SA + Argentine records", "GRO + SA records", "Mendoza; later New York and Rio crossings", and one bare dash	*** THEY WERE CITATIONS SITTING IN A PLACE FIELD, and they did TWO kinds of damage at once: *** eight people were missing from the map they belonged on, and four phantom locations were standing on it as though they were towns. Among the eight were PABLO ARMANDO HIMSELF, MARY SEPTIMA, and all three of their sons. *** The central figure of the archive was not on its own atlas. *** Now: Cape Town for the five South Africans, South Africa for Anton, Mendoza for Avelino Carlos, Montevideo for Carolina Oribe. The citations are kept in the notes, not deleted. 37 places became 33.	David read the places data and spotted that the place field held a citation. *** consistency.py now flags any where_found or birthplace that reads like a citation - "records", "GRO", "crossings", "index", or an empty dash - and the check was verified by injecting one. ***
2026-09-14	minor	A findmypast harvest plan listing OUTBOUND AND INBOUND PASSENGER LISTS as the second-highest priority, untried	*** THEY WERE TRIED ON 9 SEPTEMBER 2026, under an earlier trial, and the results are in data/passenger-lists.tsv *** - six voyages with masters, ship numbers and TNA references, including the very record this session re-found and briefly believed new: Mary Septima's arrival at Southampton on the RMS Balmoral Castle, 20 May 1935, "C/O Dalling, Fore St, Northam". The eight-year hole had been worked too, with a clean negative and two forenameless candidates.	Checking the archive's own files before writing up the "find". *** The re-find took five minutes; had it not been checked, a source consulted under a previous trial would have been announced as a discovery under this one. *** Read your own sources file before spending a deadline on a source.
2026-09-14	minor	That HORACE ARCHIBALD TAYLOR "m. MARY JANE MARSHALL, banns 17 December 1893" - recorded this morning as a marriage, and used to correct a tree's "(? Mary Jane Bridge)"	*** THE BANNS ARE REAL; THE MARRIAGE IS NOT EVIDENCED. *** Banns are an intention to marry. FreeBMD holds NO Horace Taylor marriage in volume 5b - the whole of Devon - between 1893 and 1895. He may have married elsewhere, later, or not to her. *** AND A DECOY NEARLY SETTLED IT THE WRONG WAY: *** a "Taylor, Horace" married a MARSHALL in the same quarter at BOSMERE, SUFFOLK (4a 1487), which would have neatly explained his absence from every Devon census - until the page was read directly and gave the bride as LAURA EMILY MARSHALL, not Mary Jane. Two Taylor-Marshall marriages, one quarter, two counties, two brides.	Reading the volume and page directly instead of trusting the spouse-surname match. *** Before 1912 the GRO index does not print the spouse: FreeBMD infers it from a shared page, so a "match" is an inference and two couples of the same surnames in one quarter will produce a false one. *** FreeBMD is also explicitly incomplete, so the Devon null is softer than the others recorded today.
2026-09-14	serious	Every verification run in this session, which took the form "python3 tools/consistency.py | tail -1" and was treated as a gate	*** A PIPELINE EXITS WITH THE STATUS OF ITS LAST COMMAND - "tail" - WHICH ALWAYS SUCCEEDS. *** So consistency.py's exit code gated NOTHING for an entire day. The commits were chained with && behind that pipe, which means a hard contradiction could never have stopped one. It finally showed: an unpaired emphasis marker in errands.tsv was committed while the checker was printing CONTRADICTION on screen - the output was there and had simply scrolled past.	Noticing that a commit succeeded in the same breath as a contradiction was printed. *** Fixed by tools/verify.sh: one script, set -e, no pipes, that runs all five gates and says ALL GATES PASSED or fails. *** The lesson is the archive's own, arriving in a new place: a guard that cannot fail is not a guard - and this time the guard was fine and the way it was CALLED was broken.
2026-09-14	minor	Three rows written into errands.tsv with prose in the STATUS column - "*** DONE 14 September 2026 ***", "*** PART READ - 57 of 141 ***", and a whole paragraph - and one row written with three fields where the header has five	*** STATUS IS A CONTROLLED VOCABULARY the errands page looks up: sent, replied, done, ready, waiting-on-david, blocked. *** Anything else falls through to "blocked", so three errands were being published to readers under the wrong chip - including one marked DONE that the page was calling blocked. And the malformed row put its whole detail paragraph into the status column and left detail empty. Now: David / waiting-on-david / the text in its proper field.	*** tools/verify.sh, on its first real run. *** check-links caught the literal markers reaching the errands page, and chasing that exposed the column error behind it. The unpaired-marker check had passed the same row, because a field can be internally consistent and still be the WRONG FIELD.
2026-09-15	serious	That DGS 7713386 is 'Indices de bautismos, matrimonios y defunciones, 1726-1800', and that opening it under L was 'THE CHEAPEST TEST IN THE ARCHIVE'	Two images were sampled on 15 September 2026. Image 300 is a burial register of the Catedral Basilica de Montevideo for 1887; image 1500 is a numbered burial register for 1905. Neither is an index and neither is eighteenth century. Two samples out of 2,244 images do not prove the index is absent from the film, but the attribution is not confirmed and the errand must stop calling it cheap or certain.	The attribution came from a catalogue reading, not from the film. The film was never opened until now.
2026-09-15	minor	That the castrense chaplain was 'Juan Miguel de Mendoza', and that a neighbouring 1789 entry named an enslaved man belonging to a Llerena	Both were misread at fit-width and corrected at full magnification before either reached the site: the chaplain is JUAN MIGUEL DE BERROETA, and the slave-owner is FRANCISCO JUAREZ, not Llerena. Recorded because the second misreading would have manufactured a Llerena in the regiment's own book - the exact thing this archive wants to find, which is precisely why it nearly got through.	Caught by re-reading at magnification, as the standing rule requires.
2026-09-15	serious	That the second column of data/sa-deceased-estates.tsv was a death_year	It is the year the estate was ADVERTISED in the Government Gazette, and the file called it death_year for all eleven rows. Where the J193 has now been read the two differ by years: Ricardo Juan Carlos died 21 December 1994 and was filed under 1996; Anton Armando died 3 April 2003 and was filed under 2013. Column renamed to gazette_year and the true dates recorded.	Caught by reading the actual gazette notices instead of the index that summarised them.
2026-09-15	serious	That gendatabase and this archive contradicted each other about Anton Armando Lerena, and might describe two men	There was no contradiction and there is one man. This archive's row read '2013 ... 68', and this session read that as died 2013 aged 68, implying birth about 1945 - but 2013 was the gazette year and 68 was the PAGE NUMBER, both of them columns in the archive's own file. The J193 says: Anton Armando Lerena, born 1952, died 3 April 2003, estate 15127/2013 advertised on page 68 of the gazette of 16 August 2013. gendatabase was right.	Caught by fetching the gazette page that both records were pointing at all along.
2026-09-15	serious	That DGS 8166573 held nothing below image 1057	Written this morning from three probes - images 1, 500 and 1000 - all of which happen to fall in the same gap. The film has TWO blocks: images 72-478 and 1057-3295. Block one is the Canelones baptism register 1776-1794, a different item entirely, and this archive already held an ark into it. The claim was not wrong about the images it tested; it was wrong to generalise from three of them.	Caught by resolving an ark the archive already had, which landed at image 274 - inside the range this session had declared empty.
2026-09-15	minor	That three images found by the parent-pair query were unread by this archive	All three were already read and recorded, and in fuller words than the index gives - Dominga Josefa's baptism of 1804 with its godparents, Francisco Juan Ramon of 1826, and Lucinda Gregoria of 1827 with the Capitan, the Mayor and a General as godfather. The claim came from inferring an unread ACT from an unread COLLECTION, which does not follow: the same act reaches this archive under different arks by different routes.	Caught by grepping the archive for the names before writing them up as new.
