# *** THE CANELONES FILMS - WHERE SANCHO'S 1791 MARRIAGE ACTUALLY IS. 14 September 2026. ***
# For weeks this archive has recorded the 1791 act as unreachable, on the strength of a full-text
# search that found no Canelones marriage register. *** The register is filmed, the images are open,
# and there is an index to it. *** The catalogue entry is below, item by item, so that nobody has to
# re-derive it - and so that the next session can go straight to the right reel.
what	the catalogue entry	DGS / where	what it means
#
#   1. Open  /search/film/<DGS>?i=<N>  and take the ark out of the PAGE TITLE (3:1:XXXX-XXXX-XXX).
#   2. Fetch tiles directly from:
#      https://sg30p0.familysearch.org/service/records/storage/deepzoomcloud/dz/v1/<ark>/image_files/<level>/<col>_<row>.jpg
#   3. Navigate the browser straight to that URL - the JPEG fills the tab and a screenshot reads it.
#
# *** LEVELS: 12 is the maximum for these reels and IS READABLE *** - eighteenth-century secretary hand
# came out as "...entes hijo legitimo... hija legit... impedimento canonico o... y sacramenta...".
# Level 10 gives a whole-quarter overview, enough to tell a register from an index; level 9 is 2x2 tiles.
# *** Tiles are 256px, so level 12 is about 16x16 per opening *** - a full page is many tiles, which is why
# this is a targeting tool, not a way to read a volume end to end.
#
# *** THE TILES REQUIRE THE SESSION: *** curl gets 401, page-context fetch() is blocked by CORS, and an
# <img> load works. Navigating the browser to the tile URL is the route that works.
#
# ================ *** WHERE THINGS ARE ON DGS 8166578, AS FAR AS IT WAS TAKEN *** ================
#
# The reel holds 3,222 images. Confirmed by looking:
#   - *** Image 2631 and image 2900 are both EIGHTEENTH-CENTURY MARRIAGE REGISTER openings *** - dense
#     acts with marginal names, "hijo legitimo", "impedimento canonico", "sacramento". So both are inside
#     items 11-13, Matrimonios Libros 1-3. Items 4-9 (expedientes 1900-1933) would be modern hands.
#   - *** The thumbnail grid shows NO PADLOCKS across 2,611-2,670 and 2,801-2,870 *** - unrestricted.
#
# *** AN ESTIMATE, CLEARLY LABELLED AS ONE, FOR WHOEVER GOES NEXT: *** if Libros 1-3 run 1776-1854 and end
# at image 3,222, that is about 78 years over roughly 520 images, near seven images a year, which would put
# *** JANUARY 1791 somewhere around image 2,780-2,820 *** and the start of Libro 1 near 2,700.
# *** THIS WAS NOT VERIFIED. *** The attempt to read a date off image 2800 failed because that image
# returned no ark, and without an ark there is no tile URL. Treat the number as a place to start looking,
# not as a location.
#
# *** THE BETTER ROUTE REMAINS ITEM 10, THE INDEX OF MARRIAGES 1776-1947, which sits immediately BEFORE
# the registers on this same reel and has never been opened. *** One alphabetical opening under L would
# answer the question that seven weeks of searching has not.
