# *** SANCHO OR FRANCISCO? THE ALTERNATION IS SYSTEMATIC, AND I CLOSED IT TOO EARLY. ***
# Assembled 14 September 2026, after a 1833 act reopened a question I had declared settled that
# same afternoon.
#
# THE CLAIM I MADE AND NOW WITHDRAW: that Luis Lerena's father is Sancho, attested in three original
# acts, against only two 1846 entries reading "Francisco" which describe themselves as later
# TRANSCRIPTS - and therefore "three originals against two copies is not a conflict".
#
# *** THAT REASONING DOES NOT SURVIVE THE 1833 ACT, WHICH IS AN ORIGINAL AND SAYS FRANCISCO. ***
# describe themselves as transcripts PLUS the 1833 Catedral act, which does not.
#
# So the position is: Sancho is very strongly attested and Francisco is not a machine artefact - it
# appears in an original act of 1833 and in two transcripts of 1846. A DOUBLE FORENAME remains the
# reading that requires nobody to be wrong.
#
# *** WHAT WOULD SETTLE IT: Sancho's own marriage, and his death. *** The tree says he married at
# Canelones on 8 January 1791 and died in 1832; neither act has been opened. A marriage act gives a
# man his full name as nothing else does.
#
# Recorded at length because the temptation was to keep the tidy version from an hour earlier.
#
# ---- AND A THIRD PART OF HIS NAME THAT NO RECORD HERE SUPPORTS ----
#
# This archive's register calls him *** "Sancho LLERENA Aguilar" ***. Not one of the eight records in
# the table above gives him an "Aguilar". Every one names him with a forename and the surname only,
# and every one pairs him with MARIA FERNANDEZ.
#
# A full-text search for the phrase "Llerena y Aguilar" returns thirty hits and they are ALL QUITO,
# ECUADOR - an Antonio Llerena y Aguilar who witnesses notarial and probate records there in the
# 1789-1824 span. A different family on a different continent.
#
# *** SO "AGUILAR" COMES FROM THE FAMILYSEARCH TREE AND FROM NOWHERE THIS ARCHIVE HAS READ. *** It is
# not being removed from the register - it may well be right, and the tree may rest on an act nobody
# here has opened - but it is now marked as the unattested part of his name rather than carried as
# though it were documented. The forename is contested and the matronymic is unsupported; MARIA
# FERNANDEZ is the only part of this man's identity that every record agrees on.
#
# ---- A MADRID SANCHO LERENA, NOTED AND SET ASIDE, 14 September 2026 ----
#
# Full-text searching the phrase "Sancho Lerena" returns a cluster of MADRID NOTARIAL RECORDS,
# 1773-1808. One was opened (Madrid, Notarial Records 1791, ark 3:1:3Q9M-CS21-JWJ5-W) and it is a
# real person: an index entry reads "...a favor del Genaro Vanceulen, Dona Eduvigis Crespo, y
# *** DON SANCHO LERENA ***, prebenda de las memorias..." - among censos, prebends and Carmelite
# priors.
#
# *** HE IS NOT OUR SANCHO, and the reason is a date. *** Ours is said to have married at CANELONES
# on 8 January 1791. This Don Sancho Lerena is transacting before a Madrid notary in the same year,
# in a settled Madrid context of chaplaincies and rent charges. One man cannot be both.
#
# *** RECORDED BECAUSE IT IS EXACTLY THE KIND OF FIND THAT GETS MISTAKEN FOR HIM LATER *** - the
# right forename, the right surname, the right decade, and a Spanish origin that would flatter this
# archive's own Andalusian hypothesis. It is set aside deliberately.
#
# It does establish one small thing: the combination SANCHO + LERENA existed in Spain in the 1770s
# to 1800s, which is background for the Basque-or-Extremaduran question and nothing more.
#
# ================ *** THE TALLY REDONE, 14 September 2026 *** ================
#
# *** FOURTEEN RECORDS: TEN SAY SANCHO, FOUR SAY FRANCISCO. *** But counting records is the wrong
# arithmetic, and this archive has been doing it wrong.
#
# *** THE FOUR FRANCISCOS COME FROM TWO SITTINGS. *** Three of them are the SAME PAGE - La Mauricia,
# 7 January 1846, three acts written out by one clerk on one morning from one legajo. They are not
# three independent witnesses to the name; they are one man writing the same word three times. The
# fourth is the Catedral act of October 1833.
#
# *** THE TEN SANCHOS COME FROM AT LEAST NINE SEPARATE OCCASIONS, ACROSS SIXTY-ONE YEARS *** - 1789,
# 1804 (twice, plus the investigation files), 1827, 1830, 1831, 1836, 1842, 1850 - in four parishes and
# two towns, and TWICE WITH THE MAN HIMSELF PRESENT AND SIGNING OR STANDING: godfather at Montevideo in
# 1789, godfather at Canelones in 1804, sworn witness at Canelones.
#
# *** SO THE EVIDENCE IS NOT 10-4. IT IS NINE INDEPENDENT OCCASIONS AGAINST TWO *** - and the two both
# describe him at second hand, in the generation after his, by clerks who never met him.
#
# *** THIS STILL DOES NOT MAKE FRANCISCO AN ERROR. *** A DOUBLE FORENAME - Sancho Francisco, or
# Francisco Sancho - remains the leading reading, and it explains every record without anyone being
# wrong. What has changed is that the archive can no longer say the question is evenly balanced. *** It
# is not. The weight is heavily on SANCHO, and the archive had been mis-stating it by treating one
# page as three records. ***
#
# *** AND HIS WIFE'S FULL NAME IS NOW ON AN ACT. *** The 1830 marriage act calls her "Maria Fernandez
# TRESGUERRAS". This archive carried "Maria Josefa Fernandez Tresguerras" from a PUBLISHED TREE and
# marked it secondary. *** The tree was right, and it was right about something no index gives *** -
# which is a point in favour of the same tree's other unverified claim, that Sancho and Maria married
# at CANELONES on 8 JANUARY 1791. That act has still never been opened.
#
# *** MEANWHILE HIS OWN MATRONYMIC, "AGUILAR", IS STILL UNATTESTED IN ALL FOURTEEN RECORDS. ***
#
# ============ 21 SEPTEMBER 2026: TWO OF THESE ROWS ARE NO LONGER MACHINE READINGS ============
#
# *** THE 1833 ACT - the one that broke the tidy story - HAS NOW BEEN READ OFF THE PLATE. *** Film
# 007713376, images 01176-01177. A human reading gives *** "Fran.co Lerenas y M.a Fernandez" ***,
# where the machine gave "FRANCISCO LERINA".
#
# *** THAT MATTERS MORE THAN ANY NEW RECORD WOULD. *** The strongest remaining defence of a simple
# SANCHO was that the single Francisco-bearing ORIGINAL might be a machine artefact - the 1846 pair
# disqualify themselves as transcripts, so everything rested on 1833. It is not an artefact. A
# person read it, at magnification, in a hand that spells LERENA and TRAIBEL correctly elsewhere on
# the same page.
#
# *** SO THE DOUBLE-FORENAME READING IS STRONGER THAN IT WAS, and the 'machine is wrong' reading is
# weaker. *** The count is unchanged - six Sancho against three Francisco - but the QUALITY of the
# Francisco side has gone up, and this table is where that is recorded.
#
# *** AND THE EARLIEST RECORD IN THE TABLE IS ALSO NOW IMAGE READ: *** the Iglesia Matriz baptism of
# 30 June 1789, where he stands godfather in person, reads *** "fueron padrinos SANCHO LLERENA y
# JULIANA JOSEFA" *** - with the double L, at about twenty-two years old. So the earliest and the
# most awkward entries in this table have both been taken off the machine, and they still disagree.
#
# *** WHAT THIS ARCHIVE GOT WRONG IN BETWEEN, recorded because the rule is to record it: *** the
# register's Sancho row was given a note that afternoon calling the Francisco a priest's slip,
# claiming "every other record this archive has read off a plate calls him SANCHO", and putting the
# count at "one act against five". All three were false and this file already said so. The note was
# written without reading this file. See data/corrections.tsv.
